comment_id,comment_text,platform,true_category,batch_id,source_type,predicted_category,confidence,error
52,Paid for Zara express shipping and it still arrived a week late. I need an update.,Xiaohongshu,logistics_complaint,week2,synthetic,logistics_complaint,0.9,
53,Paid for Zara express shipping and it still arrived ten days late. This is frustrating.,Instagram,logistics_complaint,week3,synthetic,logistics_complaint,0.9,
54,Paid for Zara express shipping and it still arrived one wash late. Please sort this out.,TikTok,logistics_complaint,week3,synthetic,logistics_complaint,0.9,
55,Paid for Zara express shipping and it still arrived two wears late. Not acceptable.,Xiaohongshu,logistics_complaint,week3,synthetic,logistics_complaint,0.9,
56,Zara sent my shirt to the wrong pickup point again. Seriously.,Instagram,logistics_complaint,week1,synthetic,logistics_complaint,0.9,
57,Zara sent my jacket to the wrong pickup point again. I need an update.,TikTok,logistics_complaint,week2,synthetic,logistics_complaint,0.9,
58,Zara sent my blazer to the wrong pickup point again. This is frustrating.,Xiaohongshu,logistics_complaint,week3,synthetic,logistics_complaint,0.9,
59,Zara sent my dress to the wrong pickup point again. Please sort this out.,Instagram,logistics_complaint,week3,synthetic,logistics_complaint,0.9,
60,Zara sent my trousers to the wrong pickup point again. Not acceptable.,TikTok,logistics_complaint,week3,synthetic,logistics_complaint,0.9,
61,Tracking has not moved for ten days; Zara delivery is a mess. Seriously.,Xiaohongshu,logistics_complaint,week1,synthetic,logistics_complaint,0.9,
62,Tracking has not moved for one wash; Zara delivery is a mess. I need an update.,Instagram,logistics_complaint,week2,synthetic,logistics_complaint,0.9,
63,Tracking has not moved for two wears; Zara delivery is a mess. This is frustrating.,TikTok,logistics_complaint,week3,synthetic,logistics_complaint,0.95,
64,Tracking has not moved for three days; Zara delivery is a mess. Please sort this out.,Xiaohongshu,logistics_complaint,week3,synthetic,logistics_complaint,0.95,
65,Tracking has not moved for a week; Zara delivery is a mess. Not acceptable.,Instagram,logistics_complaint,week3,synthetic,logistics_complaint,0.95,
66,My Zara package arrived with the box crushed and the blazer damaged. Seriously.,TikTok,logistics_complaint,week1,synthetic,quality_complaint,0.9,
67,My Zara package arrived with the box crushed and the dress damaged. I need an update.,Xiaohongshu,logistics_complaint,week2,synthetic,quality_complaint,0.9,
68,My Zara package arrived with the box crushed and the trousers damaged. This is frustrating.,Instagram,logistics_complaint,week3,synthetic,quality_complaint,0.9,
69,My Zara package arrived with the box crushed and the shirt damaged. Please sort this out.,TikTok,logistics_complaint,week3,synthetic,quality_complaint,0.9,
70,My Zara package arrived with the box crushed and the jacket damaged. Not acceptable.,Xiaohongshu,logistics_complaint,week3,synthetic,quality_complaint,0.9,
71,"The courier skipped my address, yet Zara marked the order delivered. Seriously.",Instagram,logistics_complaint,week1,synthetic,logistics_complaint,0.95,
72,"The courier skipped my address, yet Zara marked the order delivered. I need an update.",TikTok,logistics_complaint,week2,synthetic,logistics_complaint,0.9,
73,"The courier skipped my address, yet Zara marked the order delivered. This is frustrating.",Xiaohongshu,logistics_complaint,week3,synthetic,logistics_complaint,0.9,
74,"The courier skipped my address, yet Zara marked the order delivered. Please sort this out.",Instagram,logistics_complaint,week3,synthetic,logistics_complaint,0.9,
75,"The courier skipped my address, yet Zara marked the order delivered. Not acceptable.",TikTok,logistics_complaint,week3,synthetic,logistics_complaint,0.9,
76,Still waiting for a Zara refund because the return parcel has not been processed. Seriously.,Xiaohongshu,logistics_complaint,week1,synthetic,logistics_complaint,0.9,
77,Still waiting for a Zara refund because the return parcel has not been processed. I need an update.,Instagram,logistics_complaint,week2,synthetic,logistics_complaint,0.9,
78,Still waiting for a Zara refund because the return parcel has not been processed. This is frustrating.,TikTok,logistics_complaint,week3,synthetic,logistics_complaint,0.95,
79,Still waiting for a Zara refund because the return parcel has not been processed. Please sort this out.,Xiaohongshu,logistics_complaint,week3,synthetic,logistics_complaint,0.9,
80,Still waiting for a Zara refund because the return parcel has not been processed. Not acceptable.,Instagram,logistics_complaint,week3,synthetic,logistics_complaint,0.95,
81,This Zara blazer is less durable than my H&M one. Seriously.,TikTok,competitor_comparison,week1,synthetic,competitor_comparison,0.95,
82,This Zara dress is less durable than my Uniqlo one. I need an update.,Xiaohongshu,competitor_comparison,week2,synthetic,competitor_comparison,0.9,
83,This Zara trousers is less durable than my Mango one. This is frustrating.,Instagram,competitor_comparison,week3,synthetic,competitor_comparison,0.9,
84,This Zara shirt is less durable than my COS one. Please sort this out.,TikTok,competitor_comparison,week1,synthetic,competitor_comparison,0.9,
85,This Zara jacket is less durable than my Massimo Dutti one. Not acceptable.,Xiaohongshu,competitor_comparison,week2,synthetic,competitor_comparison,0.95,
86,"For the same money, Uniqlo has better fabric than Zara. Seriously.",Instagram,competitor_comparison,week1,synthetic,competitor_comparison,0.95,
87,"For the same money, Mango has better fabric than Zara. I need an update.",TikTok,competitor_comparison,week2,synthetic,competitor_comparison,0.95,
88,"For the same money, COS has better fabric than Zara. This is frustrating.",Xiaohongshu,competitor_comparison,week3,synthetic,competitor_comparison,0.95,
89,"For the same money, Massimo Dutti has better fabric than Zara. Please sort this out.",Instagram,competitor_comparison,week1,synthetic,competitor_comparison,0.95,
90,"For the same money, H&M has better fabric than Zara. Not acceptable.",TikTok,competitor_comparison,week2,synthetic,competitor_comparison,0.95,
91,I would choose Mango over Zara next time; the fit is better. Seriously.,Xiaohongshu,competitor_comparison,week1,synthetic,competitor_comparison,0.9,
92,I would choose COS over Zara next time; the fit is better. I need an update.,Instagram,competitor_comparison,week2,synthetic,competitor_comparison,0.95,
93,I would choose Massimo Dutti over Zara next time; the fit is better. This is frustrating.,TikTok,competitor_comparison,week3,synthetic,competitor_comparison,0.95,
94,I would choose H&M over Zara next time; the fit is better. Please sort this out.,Xiaohongshu,competitor_comparison,week1,synthetic,competitor_comparison,0.9,
95,I would choose Uniqlo over Zara next time; the fit is better. Not acceptable.,Instagram,competitor_comparison,week2,synthetic,competitor_comparison,0.9,
96,"Zara's shirt looks nice, but COS lasts much longer. Seriously.",TikTok,competitor_comparison,week1,synthetic,competitor_comparison,0.9,
97,"Zara's jacket looks nice, but Massimo Dutti lasts much longer. I need an update.",Xiaohongshu,competitor_comparison,week2,synthetic,competitor_comparison,0.9,
98,"Zara's blazer looks nice, but H&M lasts much longer. This is frustrating.",Instagram,competitor_comparison,week3,synthetic,competitor_comparison,0.9,
99,"Zara's dress looks nice, but Uniqlo lasts much longer. Please sort this out.",TikTok,competitor_comparison,week1,synthetic,other,0.0,429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions
100,"Zara's trousers looks nice, but Mango lasts much longer. Not acceptable.",Xiaohongshu,competitor_comparison,week2,synthetic,other,0.0,429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions
101,"Compared with Massimo Dutti, Zara's customer experience feels dated. Seriously.",Instagram,competitor_comparison,week1,synthetic,other,0.0,429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions
102,"Compared with H&M, Zara's customer experience feels dated. I need an update.",TikTok,competitor_comparison,week2,synthetic,competitor_comparison,0.95,
103,"Compared with Uniqlo, Zara's customer experience feels dated. This is frustrating.",Xiaohongshu,competitor_comparison,week3,synthetic,competitor_comparison,0.9,
104,"Compared with Mango, Zara's customer experience feels dated. Please sort this out.",Instagram,competitor_comparison,week1,synthetic,competitor_comparison,0.95,
105,"Compared with COS, Zara's customer experience feels dated. Not acceptable.",TikTok,competitor_comparison,week2,synthetic,competitor_comparison,0.9,
106,My H&M version was cheaper and better made than this Zara piece. Seriously.,Xiaohongshu,competitor_comparison,week1,synthetic,competitor_comparison,0.95,
107,My Uniqlo version was cheaper and better made than this Zara piece. I need an update.,Instagram,competitor_comparison,week2,synthetic,competitor_comparison,0.95,
108,My Mango version was cheaper and better made than this Zara piece. This is frustrating.,TikTok,competitor_comparison,week3,synthetic,competitor_comparison,0.95,
109,My COS version was cheaper and better made than this Zara piece. Please sort this out.,Xiaohongshu,competitor_comparison,week1,synthetic,competitor_comparison,0.9,
110,My Massimo Dutti version was cheaper and better made than this Zara piece. Not acceptable.,Instagram,competitor_comparison,week2,synthetic,competitor_comparison,0.95,
111,Zara should learn from Uniqlo; their delivery is much smoother. Seriously.,TikTok,competitor_comparison,week1,synthetic,competitor_comparison,0.9,
112,Zara should learn from Mango; their delivery is much smoother. I need an update.,Xiaohongshu,competitor_comparison,week2,synthetic,competitor_comparison,0.9,
113,Zara should learn from COS; their delivery is much smoother. This is frustrating.,Instagram,competitor_comparison,week3,synthetic,competitor_comparison,0.9,
114,Zara should learn from Massimo Dutti; their delivery is much smoother. Please sort this out.,TikTok,competitor_comparison,week1,synthetic,competitor_comparison,0.9,
115,Zara should learn from H&M; their delivery is much smoother. Not acceptable.,Xiaohongshu,competitor_comparison,week2,synthetic,competitor_comparison,0.9,
116,Tried both Zara and Mango; Mango wins on quality. Seriously.,Instagram,competitor_comparison,week1,synthetic,competitor_comparison,0.95,
117,Tried both Zara and COS; COS wins on quality. I need an update.,TikTok,competitor_comparison,week2,synthetic,competitor_comparison,0.95,
118,Tried both Zara and Massimo Dutti; Massimo Dutti wins on quality. This is frustrating.,Xiaohongshu,competitor_comparison,week3,synthetic,competitor_comparison,0.9,
119,Tried both Zara and H&M; H&M wins on quality. Please sort this out.,Instagram,competitor_comparison,week1,synthetic,competitor_comparison,0.95,
120,Tried both Zara and Uniqlo; Uniqlo wins on quality. Not acceptable.,TikTok,competitor_comparison,week2,synthetic,competitor_comparison,0.9,
121,This Zara blazer is too expensive for the material used. Seriously.,Xiaohongshu,price_sensitive,week1,synthetic,price_sensitive,0.9,
122,This Zara dress is too expensive for the material used. I need an update.,Instagram,price_sensitive,week2,synthetic,price_sensitive,0.9,
123,This Zara trousers is too expensive for the material used. This is frustrating.,TikTok,price_sensitive,week3,synthetic,price_sensitive,0.9,
124,This Zara shirt is too expensive for the material used. Please sort this out.,Xiaohongshu,price_sensitive,week1,synthetic,price_sensitive,0.9,
125,This Zara jacket is too expensive for the material used. Not acceptable.,Instagram,price_sensitive,week2,synthetic,price_sensitive,0.95,
126,Waiting for a Zara sale because full price is not worth it. Seriously.,TikTok,price_sensitive,week1,synthetic,price_sensitive,0.95,
127,Waiting for a Zara sale because full price is not worth it. I need an update.,Xiaohongshu,price_sensitive,week2,synthetic,price_sensitive,0.9,
128,Waiting for a Zara sale because full price is not worth it. This is frustrating.,Instagram,price_sensitive,week3,synthetic,price_sensitive,0.9,
129,Waiting for a Zara sale because full price is not worth it. Please sort this out.,TikTok,price_sensitive,week1,synthetic,price_sensitive,0.9,
130,Waiting for a Zara sale because full price is not worth it. Not acceptable.,Xiaohongshu,price_sensitive,week2,synthetic,price_sensitive,0.9,
131,Why did this Zara trousers become more expensive again? Seriously.,Instagram,price_sensitive,week1,synthetic,price_sensitive,0.9,
132,Why did this Zara shirt become more expensive again? I need an update.,TikTok,price_sensitive,week2,synthetic,price_sensitive,0.9,
133,Why did this Zara jacket become more expensive again? This is frustrating.,Xiaohongshu,price_sensitive,week3,synthetic,price_sensitive,0.95,
134,Why did this Zara blazer become more expensive again? Please sort this out.,Instagram,price_sensitive,week1,synthetic,price_sensitive,0.9,
135,Why did this Zara dress become more expensive again? Not acceptable.,TikTok,price_sensitive,week2,synthetic,price_sensitive,0.9,
136,The Zara price dropped right after I bought the shirt 😭 Seriously.,Xiaohongshu,price_sensitive,week1,synthetic,price_sensitive,0.9,
137,The Zara price dropped right after I bought the jacket 😭 I need an update.,Instagram,price_sensitive,week2,synthetic,price_sensitive,0.95,
138,The Zara price dropped right after I bought the blazer 😭 This is frustrating.,TikTok,price_sensitive,week3,synthetic,price_sensitive,0.95,
139,The Zara price dropped right after I bought the dress 😭 Please sort this out.,Xiaohongshu,price_sensitive,week1,synthetic,price_sensitive,0.95,
140,The Zara price dropped right after I bought the trousers 😭 Not acceptable.,Instagram,price_sensitive,week2,synthetic,price_sensitive,0.9,
141,"I like the Zara design, but the jacket is outside my budget. Seriously.",TikTok,price_sensitive,week1,synthetic,price_sensitive,0.9,
142,"I like the Zara design, but the blazer is outside my budget. I need an update.",Xiaohongshu,price_sensitive,week2,synthetic,price_sensitive,0.9,
143,"I like the Zara design, but the dress is outside my budget. This is frustrating.",Instagram,price_sensitive,week3,synthetic,price_sensitive,0.9,
144,"I like the Zara design, but the trousers is outside my budget. Please sort this out.",TikTok,price_sensitive,week1,synthetic,price_sensitive,0.9,
145,"I like the Zara design, but the shirt is outside my budget. Not acceptable.",Xiaohongshu,price_sensitive,week2,synthetic,price_sensitive,0.9,
146,No way I am paying full price for this Zara blazer. Seriously.,Instagram,price_sensitive,week1,synthetic,price_sensitive,0.9,
147,No way I am paying full price for this Zara dress. I need an update.,TikTok,price_sensitive,week2,synthetic,price_sensitive,0.9,
148,No way I am paying full price for this Zara trousers. This is frustrating.,Xiaohongshu,price_sensitive,week3,synthetic,price_sensitive,0.9,
149,No way I am paying full price for this Zara shirt. Please sort this out.,Instagram,price_sensitive,week1,synthetic,price_sensitive,0.9,
150,No way I am paying full price for this Zara jacket. Not acceptable.,TikTok,price_sensitive,week2,synthetic,price_sensitive,0.9,
151,Zara needs a better discount; this dress is poor value. Seriously.,Xiaohongshu,price_sensitive,week1,synthetic,price_sensitive,0.9,
152,Zara needs a better discount; this trousers is poor value. I need an update.,Instagram,price_sensitive,week2,synthetic,price_sensitive,0.9,
153,Zara needs a better discount; this shirt is poor value. This is frustrating.,TikTok,price_sensitive,week3,synthetic,price_sensitive,0.9,
154,Zara needs a better discount; this jacket is poor value. Please sort this out.,Xiaohongshu,price_sensitive,week1,synthetic,price_sensitive,0.9,
155,Zara needs a better discount; this blazer is poor value. Not acceptable.,Instagram,price_sensitive,week2,synthetic,price_sensitive,0.9,
156,"The coupon did not work, so I left the Zara trousers in my cart. Seriously.",TikTok,price_sensitive,week1,synthetic,price_sensitive,0.9,
157,"The coupon did not work, so I left the Zara shirt in my cart. I need an update.",Xiaohongshu,price_sensitive,week2,synthetic,price_sensitive,0.8,
158,"The coupon did not work, so I left the Zara jacket in my cart. This is frustrating.",Instagram,price_sensitive,week3,synthetic,price_sensitive,0.8,
159,"The coupon did not work, so I left the Zara blazer in my cart. Please sort this out.",TikTok,price_sensitive,week1,synthetic,price_sensitive,0.9,
160,"The coupon did not work, so I left the Zara dress in my cart. Not acceptable.",Xiaohongshu,price_sensitive,week2,synthetic,price_sensitive,0.9,
161,Love the cut of this Zara blazer; it looks great in person. Seriously.,Instagram,other,week1,synthetic,other,0.95,
162,Love the cut of this Zara dress; it looks great in person. I need an update.,TikTok,other,week2,synthetic,other,0.9,
163,Love the cut of this Zara trousers; it looks great in person. This is frustrating.,Xiaohongshu,other,week3,synthetic,other,0.9,
164,Love the cut of this Zara shirt; it looks great in person. Please sort this out.,Instagram,other,week1,synthetic,other,0.9,
165,Love the cut of this Zara jacket; it looks great in person. Not acceptable.,TikTok,other,week2,synthetic,other,0.9,
166,Does anyone know whether this Zara dress runs small? Seriously.,Xiaohongshu,other,week1,synthetic,quality_complaint,0.8,
167,Does anyone know whether this Zara trousers runs small? I need an update.,Instagram,other,week2,synthetic,other,0.9,
168,Does anyone know whether this Zara shirt runs small? This is frustrating.,TikTok,other,week3,synthetic,quality_complaint,0.8,
169,Does anyone know whether this Zara jacket runs small? Please sort this out.,Xiaohongshu,other,week1,synthetic,other,0.8,
170,Does anyone know whether this Zara blazer runs small? Not acceptable.,Instagram,other,week2,synthetic,quality_complaint,0.8,
171,The Zara store assistant helped me find the right size today. Seriously.,TikTok,other,week1,synthetic,other,0.95,
172,The Zara store assistant helped me find the right size today. I need an update.,Xiaohongshu,other,week2,synthetic,other,0.95,
173,The Zara store assistant helped me find the right size today. This is frustrating.,Instagram,other,week3,synthetic,other,0.9,
174,The Zara store assistant helped me find the right size today. Please sort this out.,TikTok,other,week1,synthetic,other,0.95,
175,The Zara store assistant helped me find the right size today. Not acceptable.,Xiaohongshu,other,week2,synthetic,other,0.9,
176,Just picked up a Zara shirt and I am excited to style it. Seriously.,Instagram,other,week1,synthetic,other,0.95,
177,Just picked up a Zara jacket and I am excited to style it. I need an update.,TikTok,other,week2,synthetic,other,0.95,
178,Just picked up a Zara blazer and I am excited to style it. This is frustrating.,Xiaohongshu,other,week3,synthetic,other,0.8,
179,Just picked up a Zara dress and I am excited to style it. Please sort this out.,Instagram,other,week1,synthetic,other,0.95,
180,Just picked up a Zara trousers and I am excited to style it. Not acceptable.,TikTok,other,week2,synthetic,other,0.9,
181,Zara's new jacket collection is exactly my kind of look. Seriously.,Xiaohongshu,other,week1,synthetic,other,0.9,
182,Zara's new blazer collection is exactly my kind of look. I need an update.,Instagram,other,week2,synthetic,other,0.95,
183,Zara's new dress collection is exactly my kind of look. This is frustrating.,TikTok,other,week3,synthetic,other,0.8,
184,Zara's new trousers collection is exactly my kind of look. Please sort this out.,Xiaohongshu,other,week1,synthetic,other,0.9,
185,Zara's new shirt collection is exactly my kind of look. Not acceptable.,Instagram,other,week2,synthetic,other,0.9,
186,Can this Zara blazer be exchanged in a different country? Seriously.,TikTok,other,week1,synthetic,other,0.8,
187,Can this Zara dress be exchanged in a different country? I need an update.,Xiaohongshu,other,week2,synthetic,other,0.8,
188,Can this Zara trousers be exchanged in a different country? This is frustrating.,Instagram,other,week3,synthetic,logistics_complaint,0.8,
189,Can this Zara shirt be exchanged in a different country? Please sort this out.,TikTok,other,week1,synthetic,logistics_complaint,0.8,
190,Can this Zara jacket be exchanged in a different country? Not acceptable.,Xiaohongshu,other,week2,synthetic,logistics_complaint,0.8,
191,The Zara app made it easy to check whether my dress was in stock. Seriously.,Instagram,other,week1,synthetic,other,0.95,
192,The Zara app made it easy to check whether my trousers was in stock. I need an update.,TikTok,other,week2,synthetic,other,0.8,
193,The Zara app made it easy to check whether my shirt was in stock. This is frustrating.,Xiaohongshu,other,week3,synthetic,other,0.8,
194,The Zara app made it easy to check whether my jacket was in stock. Please sort this out.,Instagram,other,week1,synthetic,logistics_complaint,0.7,
195,The Zara app made it easy to check whether my blazer was in stock. Not acceptable.,TikTok,other,week2,synthetic,other,0.8,
196,Really like the colour and silhouette of this Zara trousers. Seriously.,Xiaohongshu,other,week1,synthetic,other,0.9,
197,Really like the colour and silhouette of this Zara shirt. I need an update.,Instagram,other,week2,synthetic,other,0.95,
198,Really like the colour and silhouette of this Zara jacket. This is frustrating.,TikTok,other,week3,synthetic,other,0.7,
199,Really like the colour and silhouette of this Zara blazer. Please sort this out.,Xiaohongshu,other,week1,synthetic,other,0.9,
200,Really like the colour and silhouette of this Zara dress. Not acceptable.,Instagram,other,week2,synthetic,other,0.9,
